parameter_name,human_estimate,human_std_error,source_table,normalization,source_note,estimate,std_error,z_value,p_value,robust_std_error,robust_z_value,robust_p_value,significant_5pct,difference_ai_minus_human,sign_match
B_MAAS_RP,2.234,0.46,Table_4,paper_pooled_raw,MaaS interaction for ridepooling.,2.215683241344544,2461.5200422939106,0.0009001280522907,0.999281801821316,6.639526232415922,0.333711045605482,0.7385976137634025,0,-0.01831675865545579,1
B_MAAS_PT,1.241,0.386,Table_4,paper_pooled_raw,MaaS interaction for public transport.,-0.2141741795129038,1.126269372108932,-0.1901624822770986,0.8491818094435273,1.72153717327466,-0.1244086870953286,0.900991695478438,0,-1.4551741795129038,0
B_TIME_ES,-0.116,0.023,Table_4,paper_pooled_raw,Travel time coefficient for e-scooter sharing.,-0.1718887767838677,0.0194136781682784,-8.854003620227454,0.0,0.0209059347340086,-8.222008677002536,2.220446049250313e-16,1,-0.05588877678386771,1
B_TIME_BS,-0.09,0.016,Table_4,paper_pooled_raw,Travel time coefficient for bike sharing.,-0.2635709312306446,0.0121730122483469,-21.652071471992247,0.0,0.0133431563719476,-19.75326705941704,0.0,1,-0.17357093123064463,1
B_TIME_WALK,-0.212,0.012,Table_4,paper_pooled_raw,Travel time coefficient for walking.,-0.2909595409825206,0.0145870558935961,-19.94641983309696,0.0,0.0236586788853443,-12.298215905992892,0.0,1,-0.07895954098252059,1
B_TIME_CAR,-0.057,0.014,Table_4,paper_pooled_raw,Travel time coefficient for private car.,-0.188084026243383,0.0311241953179136,-6.043016512466441,1.51259160752204e-09,0.038019757854476,-4.947007473411354,7.536308417321891e-07,1,-0.131084026243383,1
B_TIME_CS,-0.03,0.012,Table_4,paper_pooled_raw,Travel time coefficient for carsharing.,-1.214924438510726,1.2531940061019575,-0.9694623758134076,0.3323145436297792,0.5293490677683552,-2.2951290792532024,0.0217257280355975,1,-1.184924438510726,1
B_TIME_RP,-0.019,0.012,Table_4,paper_pooled_raw,Travel time coefficient for ridepooling.,-0.6427913348949366,141.39343087485364,-0.0045461188042312,0.9963727344887674,0.1386800651794814,-4.635066576173211,3.5682261989578024e-06,1,-0.6237913348949365,1
B_TIME_PT,-0.065,0.007,Table_4,paper_pooled_raw,Travel time coefficient for public transport.,-0.3269265806761182,0.0409340936305286,-7.986657372383995,1.3322676295501878e-15,0.0378002561804636,-8.648792725512902,0.0,1,-0.2619265806761182,1
B_ACCESS_SHARED,-0.04,0.009,Table_4,paper_pooled_raw,Shared-service access coefficient used for e-scooter and bike as well as carsharing ridepooling and PT.,-0.1609473805579375,9.57678453954928,-0.016805993691648,0.9865913882986852,14.60578190812982,-0.0110194292623492,0.9912079454564102,0,-0.1209473805579375,1
B_ACCESS_OWNED,-0.034,0.032,Table_4,paper_pooled_raw,Private-car access coefficient.,-0.17434395668251,0.0432814158400369,-4.028148185513733,5.621790732401877e-05,0.0477389071708943,-3.652030744197777,0.0002601747274189,1,-0.14034395668250998,1
